cisp,mes,ano,aisp,risp,total
1,1,2014,5,1,3
1,2,2014,5,1,5
1,3,2014,5,1,10
1,4,2014,5,1,2
1,5,2014,5,1,0
1,6,2014,5,1,1
1,7,2014,5,1,6
1,8,2014,5,1,7
1,9,2014,5,1,0
1,10,2014,5,1,11
1,11,2014,5,1,5
1,12,2014,5,1,2
4,1,2014,5,1,0
4,2,2014,5,1,604
4,3,2014,5,1,53
4,4,2014,5,1,85
4,5,2014,5,1,31
4,6,2014,5,1,0
4,7,2014,5,1,203
4,8,2014,5,1,1
4,9,2014,5,1,37
4,10,2014,5,1,162
4,11,2014,5,1,0
4,12,2014,5,1,129
5,1,2014,5,1,114
5,2,2014,5,1,30
5,3,2014,5,1,33
5,4,2014,5,1,15
5,5,2014,5,1,2
5,6,2014,5,1,1
5,7,2014,5,1,1
5,8,2014,5,1,24
5,9,2014,5,1,234
5,10,2014,5,1,23
5,11,2014,5,1,0
5,12,2014,5,1,33
6,1,2014,4,1,16
6,2,2014,4,1,70
6,3,2014,4,1,25
6,4,2014,4,1,9
6,5,2014,4,1,56
6,6,2014,4,1,14
6,7,2014,4,1,7
6,8,2014,4,1,8
6,9,2014,4,1,141
6,10,2014,4,1,62
6,11,2014,4,1,54
6,12,2014,4,1,65
7,1,2014,5,1,72
7,2,2014,5,1,70
7,3,2014,5,1,197
7,4,2014,5,1,0
7,5,2014,5,1,25
7,6,2014,5,1,0
7,7,2014,5,1,23
7,8,2014,5,1,10
7,9,2014,5,1,19
7,10,2014,5,1,27
7,11,2014,5,1,8
7,12,2014,5,1,0
9,1,2014,2,1,59
9,2,2014,2,1,58
9,3,2014,2,1,13
9,4,2014,2,1,35
9,5,2014,2,1,0
9,6,2014,2,1,0
9,7,2014,2,1,17
9,8,2014,2,1,5
9,9,2014,2,1,16
9,10,2014,2,1,80
9,11,2014,2,1,31
9,12,2014,2,1,10
10,1,2014,2,1,28
10,2,2014,2,1,39
10,3,2014,2,1,133
10,4,2014,2,1,9
10,5,2014,2,1,0
10,6,2014,2,1,127
10,7,2014,2,1,46
10,8,2014,2,1,47
10,9,2014,2,1,0
10,10,2014,2,1,15
10,11,2014,2,1,22
10,12,2014,2,1,0
11,1,2014,23,1,395
11,2,2014,23,1,288
11,3,2014,23,1,14
11,4,2014,23,1,0
11,5,2014,23,1,99
11,6,2014,23,1,9
11,7,2014,23,1,46
11,8,2014,23,1,14
11,9,2014,23,1,2
11,10,2014,23,1,5
11,11,2014,23,1,618
11,12,2014,23,1,129
12,1,2014,19,1,238
12,2,2014,19,1,56
12,3,2014,19,1,149
12,4,2014,19,1,13
12,5,2014,19,1,106
12,6,2014,19,1,3
12,7,2014,19,1,124
12,8,2014,19,1,163
12,9,2014,19,1,58
12,10,2014,19,1,258
12,11,2014,19,1,110
12,12,2014,19,1,87
13,1,2014,19,1,57
13,2,2014,19,1,1
13,3,2014,19,1,0
13,4,2014,19,1,5
13,5,2014,19,1,34
13,6,2014,19,1,0
13,7,2014,19,1,0
13,8,2014,19,1,0
13,9,2014,19,1,0
13,10,2014,19,1,30
13,11,2014,19,1,0
13,12,2014,19,1,0
14,1,2014,23,1,5
14,2,2014,23,1,6
14,3,2014,23,1,99
14,4,2014,23,1,0
14,5,2014,23,1,0
14,6,2014,23,1,34
14,7,2014,23,1,0
14,8,2014,23,1,15
14,9,2014,23,1,5
14,10,2014,23,1,0
14,11,2014,23,1,0
14,12,2014,23,1,0
15,1,2014,23,1,237
15,2,2014,23,1,10
15,3,2014,23,1,0
15,4,2014,23,1,13
15,5,2014,23,1,18
15,6,2014,23,1,338
15,7,2014,23,1,9
15,8,2014,23,1,13
15,9,2014,23,1,12
15,10,2014,23,1,29
15,11,2014,23,1,6
15,12,2014,23,1,11
16,1,2014,31,2,34
16,2,2014,31,2,166
16,3,2014,31,2,90
16,4,2014,31,2,63
16,5,2014,31,2,349
16,6,2014,31,2,2
16,7,2014,31,2,186
16,8,2014,31,2,144
16,9,2014,31,2,18
16,10,2014,31,2,17
16,11,2014,31,2,169
16,12,2014,31,2,3
17,1,2014,4,1,126
17,2,2014,4,1,31
17,3,2014,4,1,34
17,4,2014,4,1,53
17,5,2014,4,1,55
17,6,2014,4,1,33
17,7,2014,4,1,47
17,8,2014,4,1,55
17,9,2014,4,1,521
17,10,2014,4,1,873
17,11,2014,4,1,88
17,12,2014,4,1,213
18,1,2014,4,1,40
18,2,2014,4,1,8
18,3,2014,4,1,0
18,4,2014,4,1,5
18,5,2014,4,1,1
18,6,2014,4,1,0
18,7,2014,4,1,22
18,8,2014,4,1,0
18,9,2014,4,1,11
18,10,2014,4,1,0
18,11,2014,4,1,1
18,12,2014,4,1,70
19,1,2014,6,1,96
19,2,2014,6,1,111
19,3,2014,6,1,17
19,4,2014,6,1,183
19,5,2014,6,1,7
19,6,2014,6,1,13
19,7,2014,6,1,0
19,8,2014,6,1,63
19,9,2014,6,1,17
19,10,2014,6,1,33
19,11,2014,6,1,176
19,12,2014,6,1,20
20,1,2014,6,1,25
20,2,2014,6,1,20
20,3,2014,6,1,3
20,4,2014,6,1,33
20,5,2014,6,1,29
20,6,2014,6,1,18
20,7,2014,6,1,37
20,8,2014,6,1,15
20,9,2014,6,1,8
20,10,2014,6,1,0
20,11,2014,6,1,61
20,12,2014,6,1,431
21,1,2014,22,1,620
21,2,2014,22,1,132
21,3,2014,22,1,2687
21,4,2014,22,1,1618
21,5,2014,22,1,278
21,6,2014,22,1,292
21,7,2014,22,1,164
21,8,2014,22,1,53
21,9,2014,22,1,129
21,10,2014,22,1,875
21,11,2014,22,1,197
21,12,2014,22,1,319
22,1,2014,16,1,37
22,2,2014,16,1,50
22,3,2014,16,1,236
22,4,2014,16,1,746
22,5,2014,16,1,11
22,6,2014,16,1,133
22,7,2014,16,1,45
22,8,2014,16,1,55
22,9,2014,16,1,692
22,10,2014,16,1,196
22,11,2014,16,1,137
22,12,2014,16,1,91
23,1,2014,3,1,0
23,2,2014,3,1,0
23,3,2014,3,1,14
23,4,2014,3,1,19
23,5,2014,3,1,5
23,6,2014,3,1,0
23,7,2014,3,1,0
23,8,2014,3,1,1
23,9,2014,3,1,33
23,10,2014,3,1,10
23,11,2014,3,1,25
23,12,2014,3,1,8
24,1,2014,3,1,34
24,2,2014,3,1,0
24,3,2014,3,1,14
24,4,2014,3,1,8
24,5,2014,3,1,46
24,6,2014,3,1,2301
24,7,2014,3,1,56
24,8,2014,3,1,40
24,9,2014,3,1,68
24,10,2014,3,1,879
24,11,2014,3,1,19
24,12,2014,3,1,1068
25,1,2014,3,1,59
25,2,2014,3,1,142
25,3,2014,3,1,37
25,4,2014,3,1,66
25,5,2014,3,1,69
25,6,2014,3,1,41
25,7,2014,3,1,50
25,8,2014,3,1,127
25,9,2014,3,1,23
25,10,2014,3,1,63
25,11,2014,3,1,90
25,12,2014,3,1,0
26,1,2014,3,1,10
26,2,2014,3,1,90
26,3,2014,3,1,16
26,4,2014,3,1,19
26,5,2014,3,1,1
26,6,2014,3,1,0
26,7,2014,3,1,17
26,8,2014,3,1,182
26,9,2014,3,1,41
26,10,2014,3,1,15
26,11,2014,3,1,0
26,12,2014,3,1,19
27,1,2014,41,2,356
27,2,2014,41,2,259
27,3,2014,41,2,84
27,4,2014,41,2,28
27,5,2014,41,2,100
27,6,2014,41,2,26
27,7,2014,41,2,99
27,8,2014,41,2,60
27,9,2014,41,2,65
27,10,2014,41,2,63
27,11,2014,41,2,100
27,12,2014,41,2,25
28,1,2014,9,2,35
28,2,2014,9,2,1
28,3,2014,9,2,33
28,4,2014,9,2,16
28,5,2014,9,2,13
28,6,2014,9,2,52
28,7,2014,9,2,115
28,8,2014,9,2,60
28,9,2014,9,2,27
28,10,2014,9,2,73
28,11,2014,9,2,93
28,12,2014,9,2,1653
29,1,2014,9,2,176
29,2,2014,9,2,45
29,3,2014,9,2,25
29,4,2014,9,2,83
29,5,2014,9,2,809
29,6,2014,9,2,149
29,7,2014,9,2,96
29,8,2014,9,2,72
29,9,2014,9,2,65
29,10,2014,9,2,293
29,11,2014,9,2,124
29,12,2014,9,2,509
30,1,2014,9,2,34
30,2,2014,9,2,29
30,3,2014,9,2,75
30,4,2014,9,2,20
30,5,2014,9,2,68
30,6,2014,9,2,5
30,7,2014,9,2,95
30,8,2014,9,2,26
30,9,2014,9,2,67
30,10,2014,9,2,38
30,11,2014,9,2,116
30,12,2014,9,2,53
31,1,2014,41,2,74
31,2,2014,41,2,83
31,3,2014,41,2,19
31,4,2014,41,2,31
31,5,2014,41,2,10
31,6,2014,41,2,76
31,7,2014,41,2,633
31,8,2014,41,2,33
31,9,2014,41,2,7
31,10,2014,41,2,101
31,11,2014,41,2,200
31,12,2014,41,2,159
32,1,2014,18,2,40
32,2,2014,18,2,52
32,3,2014,18,2,69
32,4,2014,18,2,46
32,5,2014,18,2,12
32,6,2014,18,2,181
32,7,2014,18,2,122
32,8,2014,18,2,278
32,9,2014,18,2,1739
32,10,2014,18,2,90
32,11,2014,18,2,94
32,12,2014,18,2,238
33,1,2014,14,2,42
33,2,2014,14,2,63
33,3,2014,14,2,36
33,4,2014,14,2,19
33,5,2014,14,2,74
33,6,2014,14,2,67
33,7,2014,14,2,78
33,8,2014,14,2,107
33,9,2014,14,2,46
33,10,2014,14,2,261
33,11,2014,14,2,35
33,12,2014,14,2,96
