cisp,mes,ano,aisp,risp,total
1,1,2016,5,1,0
1,2,2016,5,1,2
1,3,2016,5,1,1
1,4,2016,5,1,1
1,5,2016,5,1,0
1,6,2016,5,1,2
1,7,2016,5,1,2
1,8,2016,5,1,3
1,9,2016,5,1,9
1,10,2016,5,1,2
1,11,2016,5,1,1
1,12,2016,5,1,3
4,1,2016,5,1,4
4,2,2016,5,1,1
4,3,2016,5,1,8
4,4,2016,5,1,0
4,5,2016,5,1,3
4,6,2016,5,1,9
4,7,2016,5,1,0
4,8,2016,5,1,14
4,9,2016,5,1,0
4,10,2016,5,1,3
4,11,2016,5,1,2
4,12,2016,5,1,1
5,1,2016,5,1,2
5,2,2016,5,1,8
5,3,2016,5,1,2
5,4,2016,5,1,7
5,5,2016,5,1,7
5,6,2016,5,1,4
5,7,2016,5,1,3
5,8,2016,5,1,17
5,9,2016,5,1,13
5,10,2016,5,1,7
5,11,2016,5,1,5
5,12,2016,5,1,3
6,1,2016,4,1,1
6,2,2016,4,1,0
6,3,2016,4,1,3
6,4,2016,4,1,2
6,5,2016,4,1,0
6,6,2016,4,1,1
6,7,2016,4,1,5
6,8,2016,4,1,1
6,9,2016,4,1,0
6,10,2016,4,1,1
6,11,2016,4,1,0
6,12,2016,4,1,2
7,1,2016,5,1,1
7,2,2016,5,1,0
7,3,2016,5,1,0
7,4,2016,5,1,0
7,5,2016,5,1,0
7,6,2016,5,1,0
7,7,2016,5,1,1
7,8,2016,5,1,1
7,9,2016,5,1,0
7,10,2016,5,1,0
7,11,2016,5,1,2
7,12,2016,5,1,0
9,1,2016,2,1,11
9,2,2016,2,1,4
9,3,2016,2,1,12
9,4,2016,2,1,6
9,5,2016,2,1,2
9,6,2016,2,1,2
9,7,2016,2,1,4
9,8,2016,2,1,4
9,9,2016,2,1,7
9,10,2016,2,1,2
9,11,2016,2,1,5
9,12,2016,2,1,4
10,1,2016,2,1,4
10,2,2016,2,1,0
10,3,2016,2,1,1
10,4,2016,2,1,4
10,5,2016,2,1,1
10,6,2016,2,1,0
10,7,2016,2,1,2
10,8,2016,2,1,4
10,9,2016,2,1,0
10,10,2016,2,1,4
10,11,2016,2,1,1
10,12,2016,2,1,3
11,1,2016,23,1,1
11,2,2016,23,1,0
11,3,2016,23,1,0
11,4,2016,23,1,1
11,5,2016,23,1,0
11,6,2016,23,1,0
11,7,2016,23,1,0
11,8,2016,23,1,0
11,9,2016,23,1,0
11,10,2016,23,1,1
11,11,2016,23,1,0
11,12,2016,23,1,0
12,1,2016,19,1,0
12,2,2016,19,1,1
12,3,2016,19,1,0
12,4,2016,19,1,6
12,5,2016,19,1,0
12,6,2016,19,1,0
12,7,2016,19,1,2
12,8,2016,19,1,0
12,9,2016,19,1,1
12,10,2016,19,1,2
12,11,2016,19,1,0
12,12,2016,19,1,1
13,1,2016,19,1,0
13,2,2016,19,1,0
13,3,2016,19,1,1
13,4,2016,19,1,3
13,5,2016,19,1,0
13,6,2016,19,1,4
13,7,2016,19,1,0
13,8,2016,19,1,0
13,9,2016,19,1,1
