cisp,mes,ano,aisp,risp,armadilha_explosiva,armadilha_incendiaria,bomba_fabricacao_caseira,granada,material_belico_explosivo,material_explosivo,material_explosivo_caseiro,material_nao_identificado,total
1,1,2012,5,1,0,0,0,0,0,0,0,0,0
1,2,2012,5,1,0,0,0,0,0,0,0,0,0
1,3,2012,5,1,0,0,0,0,0,0,0,0,0
1,4,2012,5,1,0,0,0,0,0,0,0,0,0
1,5,2012,5,1,0,0,0,0,0,0,0,0,0
1,6,2012,5,1,0,0,0,0,0,0,0,0,0
1,7,2012,5,1,0,0,0,0,0,0,0,0,0
1,8,2012,5,1,0,0,0,0,0,0,0,0,0
1,9,2012,5,1,0,0,0,0,0,0,0,0,0
1,10,2012,5,1,0,0,0,0,0,0,0,0,0
1,11,2012,5,1,0,0,0,0,0,0,0,0,0
1,12,2012,5,1,0,0,0,0,0,0,0,0,0
4,1,2012,5,1,0,0,0,0,0,0,0,0,0
4,2,2012,5,1,0,0,0,0,0,0,0,0,0
4,3,2012,5,1,0,0,0,0,0,0,0,0,0
4,4,2012,5,1,0,0,0,0,0,0,0,0,0
4,5,2012,5,1,0,0,0,0,0,0,0,0,0
4,6,2012,5,1,0,0,0,0,0,0,0,0,0
4,7,2012,5,1,0,0,0,0,0,0,0,0,0
4,8,2012,5,1,0,0,0,0,0,0,0,0,0
4,9,2012,5,1,0,0,1,0,0,0,0,0,1
4,10,2012,5,1,0,0,0,0,0,0,0,0,0
4,11,2012,5,1,0,0,0,0,0,0,0,0,0
4,12,2012,5,1,0,0,0,0,0,0,0,0,0
5,1,2012,5,1,0,0,0,0,0,0,0,0,0
5,2,2012,5,1,0,0,0,0,0,0,0,0,0
5,3,2012,5,1,0,0,0,0,0,0,0,0,0
5,4,2012,5,1,0,0,0,0,0,0,0,0,0
5,5,2012,5,1,0,0,0,0,0,0,0,0,0
5,6,2012,5,1,0,0,0,0,0,0,0,0,0
5,7,2012,5,1,0,0,0,0,0,0,0,0,0
5,8,2012,5,1,0,0,0,0,0,0,0,0,0
5,9,2012,5,1,0,0,0,0,0,0,0,0,0
5,10,2012,5,1,0,0,0,0,0,0,0,0,0
5,11,2012,5,1,0,0,0,0,0,8,0,0,8
5,12,2012,5,1,0,0,0,0,0,0,0,0,0
6,1,2012,4,1,0,0,0,0,0,0,0,0,0
6,2,2012,4,1,0,0,0,0,0,0,0,0,0
6,3,2012,4,1,0,0,0,0,0,0,0,0,0
6,4,2012,4,1,0,0,0,1,0,0,0,0,1
6,5,2012,4,1,0,0,0,0,0,0,0,0,0
6,6,2012,4,1,0,0,0,0,0,0,0,0,0
6,7,2012,4,1,0,0,0,0,0,0,0,0,0
6,8,2012,4,1,0,0,0,0,0,0,0,0,0
6,9,2012,4,1,0,0,0,1,0,0,0,0,1
6,10,2012,4,1,0,0,0,1,0,0,0,0,1
6,11,2012,4,1,0,0,0,1,0,0,0,0,1
6,12,2012,4,1,0,0,0,0,0,0,0,0,0
7,1,2012,5,1,0,0,0,1,0,0,0,0,1
7,2,2012,5,1,0,0,0,0,0,0,0,0,0
7,3,2012,5,1,0,0,0,1,0,0,0,0,1
7,4,2012,5,1,0,0,0,0,0,0,0,0,0
7,5,2012,5,1,0,0,0,0,0,0,0,0,0
7,6,2012,5,1,0,0,0,1,0,0,0,0,1
7,7,2012,5,1,0,0,0,0,0,0,0,0,0
7,8,2012,5,1,0,0,1,0,0,0,0,0,1
7,9,2012,5,1,0,0,0,0,0,0,0,0,0
7,10,2012,5,1,0,0,0,0,0,0,0,0,0
7,11,2012,5,1,0,0,0,0,0,0,0,0,0
7,12,2012,5,1,0,0,0,0,0,0,0,0,0
9,1,2012,2,1,0,0,0,3,0,0,0,0,3
9,2,2012,2,1,0,0,0,0,0,0,0,0,0
9,3,2012,2,1,0,0,0,0,0,0,0,0,0
9,4,2012,2,1,0,0,0,0,0,0,0,0,0
9,5,2012,2,1,0,0,0,0,0,0,0,0,0
9,6,2012,2,1,0,0,0,0,0,0,0,0,0
9,7,2012,2,1,0,0,0,0,0,0,0,0,0
