cisp,mes,ano,aisp,risp,arma_fabricacao_caseira,carabina,espingarda,fuzil,garrucha,garruchao,metralhadora,outros,pistola,revolver,submetralhadora,total
1,1,2007,5,1,0,0,0,0,0,0,0,0,0,2,0,2
1,2,2007,5,1,0,0,0,0,0,0,0,0,0,1,0,1
1,3,2007,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2007,5,1,0,0,0,0,0,0,0,1,4,1,0,6
1,5,2007,5,1,0,0,0,0,6,0,0,0,1,2,0,9
1,6,2007,5,1,0,0,0,0,0,0,0,0,0,2,0,2
1,7,2007,5,1,0,0,0,0,0,0,0,0,0,1,0,1
1,8,2007,5,1,0,0,1,0,0,0,0,0,0,4,0,5
1,9,2007,5,1,0,0,0,0,0,0,0,0,3,1,0,4
1,10,2007,5,1,0,0,0,0,0,0,0,0,0,5,0,5
1,11,2007,5,1,0,0,0,0,0,0,0,0,2,2,0,4
1,12,2007,5,1,0,0,0,0,0,0,0,0,1,2,0,3
4,1,2007,5,1,0,1,1,0,0,0,0,0,3,7,0,12
4,2,2007,5,1,0,0,0,0,1,0,0,0,3,4,0,8
4,3,2007,5,1,0,0,1,0,1,0,0,0,4,5,0,11
4,4,2007,5,1,0,0,0,1,1,0,0,0,2,8,0,12
4,5,2007,5,1,0,0,0,0,1,0,0,0,3,5,0,9
4,6,2007,5,1,0,0,1,0,1,0,0,1,1,5,0,9
4,7,2007,5,1,0,0,1,2,0,0,0,0,6,5,0,14
4,8,2007,5,1,0,0,0,0,0,0,0,0,1,3,0,4
4,9,2007,5,1,0,0,0,0,0,0,0,0,2,4,0,6
4,10,2007,5,1,0,0,0,0,0,0,0,0,1,2,0,3
4,11,2007,5,1,0,0,0,0,0,0,0,0,3,1,0,4
4,12,2007,5,1,0,0,0,0,0,0,0,0,0,2,0,2
5,1,2007,5,1,0,0,0,0,0,0,0,0,0,1,0,1
5,2,2007,5,1,0,0,0,0,0,0,0,0,2,4,0,6
5,3,2007,5,1,0,0,0,0,1,0,0,0,1,3,0,5
5,4,2007,5,1,0,0,0,0,0,0,0,0,1,2,0,3
5,5,2007,5,1,0,0,0,0,0,0,0,0,0,3,0,3
5,6,2007,5,1,0,0,0,0,0,0,0,0,1,2,0,3
5,7,2007,5,1,0,0,0,0,0,0,0,0,1,0,0,1
5,8,2007,5,1,0,0,0,0,0,0,0,0,1,1,0,2
5,9,2007,5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,10,2007,5,1,0,0,1,0,0,0,0,1,2,4,0,8
5,11,2007,5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,12,2007,5,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2007,4,1,0,0,0,2,0,0,2,0,4,2,0,10
6,2,2007,4,1,0,0,0,0,0,0,0,0,1,11,0,12
6,3,2007,4,1,1,1,0,0,0,0,0,0,2,6,0,10
6,4,2007,4,1,0,0,0,8,0,0,1,0,5,4,0,18
6,5,2007,4,1,0,1,5,0,0,0,0,0,4,2,0,12
6,6,2007,4,1,0,1,0,1,0,0,0,0,4,6,0,12
6,7,2007,4,1,1,0,1,0,0,0,0,0,2,6,0,10
6,8,2007,4,1,0,0,0,0,1,0,1,0,3,5,0,10
6,9,2007,4,1,0,3,0,0,0,0,0,0,3,3,0,9
6,10,2007,4,1,1,0,0,3,0,0,0,0,4,1,0,9
6,11,2007,4,1,0,0,2,0,1,0,0,0,5,4,0,12
6,12,2007,4,1,0,0,0,0,0,0,0,0,2,11,0,13
7,1,2007,5,1,0,0,0,2,0,0,0,0,1,3,0,6
7,2,2007,5,1,0,0,0,0,0,0,0,0,0,4,0,4
7,3,2007,5,1,0,0,0,0,0,0,0,0,2,7,0,9
7,4,2007,5,1,0,0,0,0,1,0,0,0,0,3,0,4
7,5,2007,5,1,0,1,0,0,0,1,0,0,1,2,0,5
7,6,2007,5,1,0,0,0,0,0,0,0,0,0,2,0,2
7,7,2007,5,1,0,0,0,0,0,0,0,0,3,0,0,3
7,8,2007,5,1,0,0,0,0,0,0,0,0,1,6,0,7
7,9,2007,5,1,0,0,1,1,1,0,0,0,0,5,0,8
7,10,2007,5,1,0,0,0,0,1,0,0,0,0,7,0,8
7,11,2007,5,1,0,0,0,0,0,0,0,0,1,2,0,3
7,12,2007,5,1,0,1,0,0,0,0,0,0,0,7,0,8
9,1,2007,2,1,0,0,0,0,0,0,0,0,2,4,0,6
9,2,2007,2,1,0,0,0,0,0,0,0,0,0,3,0,3
9,3,2007,2,1,0,0,0,0,0,0,0,0,3,6,0,9
9,4,2007,2,1,0,0,0,0,1,0,0,0,2,5,0,8
9,5,2007,2,1,0,0,0,0,0,0,0,0,1,5,1,7
9,6,2007,2,1,0,0,0,0,0,0,0,0,2,7,0,9
9,7,2007,2,1,0,0,0,0,0,0,0,0,2,6,0,8
9,8,2007,2,1,0,0,0,1,1,0,0,0,2,6,0,10
9,9,2007,2,1,0,0,0,0,0,0,0,0,0,9,0,9
9,10,2007,2,1,0,0,0,0,0,0,0,1,2,3,0,6
9,11,2007,2,1,0,0,0,0,0,0,0,0,4,4,0,8
9,12,2007,2,1,0,0,0,0,1,0,0,0,2,3,0,6
10,1,2007,2,1,0,0,2,0,0,0,0,1,1,2,0,6
10,2,2007,2,1,0,0,0,0,0,0,0,0,0,5,0,5
10,3,2007,2,1,0,0,0,0,0,0,0,0,1,6,0,7
10,4,2007,2,1,0,0,0,0,0,0,0,0,0,4,0,4
10,5,2007,2,1,0,0,0,0,0,0,0,0,2,4,0,6
10,6,2007,2,1,0,0,0,0,0,0,0,2,0,0,0,2
10,7,2007,2,1,0,0,1,0,1,0,0,0,6,3,0,11
10,8,2007,2,1,0,0,0,0,1,0,0,0,3,1,0,5
10,9,2007,2,1,0,0,0,0,0,0,0,0,3,2,0,5
10,10,2007,2,1,0,0,3,7,1,0,3,0,12,6,0,32
10,11,2007,2,1,0,0,0,1,1,0,0,0,0,2,0,4
